Loading net-file from 'lust.net.xml' ... done (1011ms).
Loading additional-files from 'vtypes.add.xml' ... done (3ms).
Loading additional-files from 'busstops.add.xml' ... done (7ms).
Loading additional-files from 'e1detectors.add.xml' ... done (41ms).
Loading additional-files from 'lust.poly.xml' ... done (57ms).
Loading additional-files from 'tll.static.xml' ... done (10ms).
Warning: Unsafe green phase 2 in tlLogic '-30132', program '0'. Lane '--31508#2_0' is targeted by 2 'G'-links. (use 'g' instead)
Warning: Unsafe green phase 2 in tlLogic '-30132', program '1'. Lane '--31508#2_0' is targeted by 2 'G'-links. (use 'g' instead)
Loading route-files incrementally from 'buslines.rou.xml'
Loading route-files incrementally from 'DUARoutes/local.0.rou.xml'
Loading route-files incrementally from 'DUARoutes/local.1.rou.xml'
Loading route-files incrementally from 'DUARoutes/local.2.rou.xml'
Loading route-files incrementally from 'transit.rou.xml'
Loading done.
Simulation version 1.26.0 started with time: 0.00.
Warning: Vehicle '0BEtoLU.2' performs emergency braking on lane '-30668#9-AddedOnRampEdge_2' with decel=9.00, wished=4.50, severity=1.00, time=483.00.
Warning: Vehicle '0BEtoLU.11' performs emergency braking on lane '-30668#9-AddedOnRampEdge_2' with decel=9.00, wished=4.50, severity=1.00, time=1506.00.
Warning: Vehicle '0BEtoLU.14' performs emergency braking on lane '-30668#9-AddedOnRampEdge_2' with decel=9.00, wished=4.50, severity=1.00, time=1791.00.
Warning: Vehicle 'randUni3136:1' performs emergency braking on lane ':-13922_1_0' with decel=9.00, wished=4.50, severity=1.00, time=2357.00.
Warning: Vehicle 'randUni16436:1' performs emergency braking on lane ':-13922_1_0' with decel=9.00, wished=4.50, severity=1.00, time=2448.00.
Warning: Vehicle 'randUni7088:1' performs emergency braking on lane ':-13922_1_0' with decel=9.00, wished=4.50, severity=1.00, time=3271.00.
Warning: Vehicle 'randUni5326:1' performs emergency braking on lane ':-13922_1_0' with decel=9.00, wished=4.50, severity=1.00, time=3716.00.
Warning: Vehicle 'randUni4375:1' performs emergency braking on lane ':-13922_1_0' with decel=9.00, wished=4.50, severity=1.00, time=3974.00.
Warning: Vehicle 'randUni12184:1' performs emergency braking on lane ':-13922_1_0' with decel=9.00, wished=4.50, severity=1.00, time=4137.00.
Warning: Vehicle '1BEtoLU.16' performs emergency braking on lane '-30668#9-AddedOnRampEdge_2' with decel=9.00, wished=4.50, severity=1.00, time=4220.00.
Warning: Vehicle 'randUni8011:1' performs emergency braking on lane '-31366#0-AddedOnRampEdge_2' with decel=9.00, wished=4.50, severity=1.00, time=4352.00.
